""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Fourati et al. (2016) Pre-vaccination inflammation and B-cell signalling predict age-related hyporesponse to hepatitis B vaccination. Nat Commun PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691' target='_blank'>26742691</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"IRF7"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"Hepatitis B Virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"200"	"IRF7"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"IRF9"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"Hepatitis B Virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"200"	"IRF9"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"IL15"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"Hepatitis B Virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"200"	"IL15"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"OAS1"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"Hepatitis B Virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"200"	"OAS1"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"NFKB1"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"Hepatitis B Virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"200"	"NFkB"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ARHGAP4"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"Hepatitis B Virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"200"	"C1"
