""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Gonçalves et al. (2020) Innate gene signature distinguishes humoral versus cytotoxic responses to influenza vaccination. J. Clin. Invest. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30843873' target='_blank'>30843873</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"	"complete signature response agents file"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"C2"	"gene expression"	"up"	"MN antibody responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"1"	"355"	"C2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_355.txt"	"hipciof_gene_complete_30843873_355.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"CKS1B"	"gene expression"	"up"	"MN antibody responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"1"	"355"	"CKS1B"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_355.txt"	"hipciof_gene_complete_30843873_355.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"PRKAA1"	"gene expression"	"up"	"MN antibody nonresponders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"2"	"356"	"PRKAA1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_356.txt"	"hipciof_gene_complete_30843873_356.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"TMEM8B"	"gene expression"	"up"	"MN antibody nonresponders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"2"	"356"	"TMEM8B"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_356.txt"	"hipciof_gene_complete_30843873_356.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"MAP2K5"	"gene expression"	"up"	"TIV-specific T cell responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"3"	"357"	"MAP2K5"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_357.txt"	"hipciof_gene_complete_30843873_357.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"NECTIN1"	"gene expression"	"up"	"TIV-specific T cell responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"3"	"357"	"PVRL1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_357.txt"	"hipciof_gene_complete_30843873_357.txt"
