""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Osman et al. (2017) A third generation vaccine for human visceral leishmaniasis and post kala azar dermal leishmaniasis: First-in-human trial of ChAd63-KH. PLoS Negl Trop Dis PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28498840' target='_blank'>28498840</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20170710-hipciof_gene_28498840"	"2017.07.10"	"hipciof_gene_43"	"whole blood"	"CABIN1"	"gene expression"	"down"	""	"24"	"hours"	"Leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"1"	"361"	"CABIN1"
""	"20170710-hipciof_gene_28498840"	"2017.07.10"	"hipciof_gene_43"	"whole blood"	"ZNF600"	"gene expression"	"down"	""	"24"	"hours"	"Leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"1"	"361"	"ZNF600"
""	"20170710-hipciof_gene_28498840"	"2017.07.10"	"hipciof_gene_43"	"whole blood"	"SESN1"	"gene expression"	"down"	""	"24"	"hours"	"Leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"1"	"361"	"SESN1"
""	"20170710-hipciof_gene_28498840"	"2017.07.10"	"hipciof_gene_43"	"whole blood"	"ADAMTS5"	"gene expression"	"down"	""	"24"	"hours"	"Leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"1"	"361"	"ADAMTS5"
""	"20170710-hipciof_gene_28498840"	"2017.07.10"	"hipciof_gene_43"	"whole blood"	"DZANK1"	"gene expression"	"down"	""	"24"	"hours"	"Leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"1"	"361"	"DZANK1"
""	"20170710-hipciof_gene_28498840"	"2017.07.10"	"hipciof_gene_43"	"whole blood"	"ZNF256"	"gene expression"	"down"	""	"24"	"hours"	"Leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"adullts (18-50)"	"28498840"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"1"	"361"	"ZNF256"
