""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Thakar et al. (2015) Aging-dependent alterations in gene expression and a mitochondrial signature of responsiveness to human influenza vaccination. Aging (Albany NY) PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819' target='_blank'>25596819</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"	"complete signature response agents file"
""	"20150724-hipciof_gene_25596819"	"2015.07.24"	"hipciof_gene_37"	"peripheral blood mononuclear cell"	"AAK1"	"gene expression"	"down"	"responders, 2011-12season"	"7"	"Days"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (21-30)"	"25596819"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"1"	"263"	"AAK1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_25596819_263.txt"	"hipciof_gene_complete_25596819_263.txt"
""	"20150724-hipciof_gene_25596819"	"2015.07.24"	"hipciof_gene_37"	"peripheral blood mononuclear cell"	"ABHD3"	"gene expression"	"down"	"responders, 2011-12season"	"7"	"Days"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (21-30)"	"25596819"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"1"	"263"	"ABHD3"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_25596819_263.txt"	"hipciof_gene_complete_25596819_263.txt"
""	"20150724-hipciof_gene_25596819"	"2015.07.24"	"hipciof_gene_37"	"peripheral blood mononuclear cell"	"ABR"	"gene expression"	"down"	"responders, 2011-12season"	"7"	"Days"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (21-30)"	"25596819"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"1"	"263"	"ABR"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_25596819_263.txt"	"hipciof_gene_complete_25596819_263.txt"
""	"20150724-hipciof_gene_25596819"	"2015.07.24"	"hipciof_gene_37"	"peripheral blood mononuclear cell"	"ACAD11"	"gene expression"	"down"	"responders, 2011-12season"	"7"	"Days"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (21-30)"	"25596819"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"1"	"263"	"ACAD11"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_25596819_263.txt"	"hipciof_gene_complete_25596819_263.txt"
""	"20150724-hipciof_gene_25596819"	"2015.07.24"	"hipciof_gene_37"	"peripheral blood mononuclear cell"	"ACADVL"	"gene expression"	"down"	"responders, 2011-12season"	"7"	"Days"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (21-30)"	"25596819"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"1"	"263"	"ACADVL"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_25596819_263.txt"	"hipciof_gene_complete_25596819_263.txt"
""	"20150724-hipciof_gene_25596819"	"2015.07.24"	"hipciof_gene_37"	"peripheral blood mononuclear cell"	"ACSS2"	"gene expression"	"down"	"responders, 2011-12season"	"7"	"Days"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (21-30)"	"25596819"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"1"	"263"	"ACSS2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_25596819_263.txt"	"hipciof_gene_complete_25596819_263.txt"
