""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Dhiman et al. (2009) Immune activation at effector and gene expression levels after measles vaccination in healthy individuals: a pilot study. Hum. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=16571413' target='_blank'>16571413</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20090611-hipciof_gene_16571413"	"2009.06.11"	"hipciof_gene_58"	"peripheral blood mononuclear cell"	"SGK1"	"gene expression"	"up"	""	"7 or 14"	"days"	"Measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"Adults (15-25)"	"16571413"	"2005"	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"1"	"461"	"Y10032"
""	"20090611-hipciof_gene_16571413"	"2009.06.11"	"hipciof_gene_58"	"peripheral blood mononuclear cell"	"RYR2"	"gene expression"	"up"	""	"7 or 14"	"days"	"Measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"Adults (15-25)"	"16571413"	"2005"	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"1"	"461"	"X98330"
""	"20090611-hipciof_gene_16571413"	"2009.06.11"	"hipciof_gene_58"	"peripheral blood mononuclear cell"	"RPGRIP1L"	"gene expression"	"up"	""	"7 or 14"	"days"	"Measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"Adults (15-25)"	"16571413"	"2005"	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"1"	"461"	"AB023222"
""	"20090611-hipciof_gene_16571413"	"2009.06.11"	"hipciof_gene_58"	"peripheral blood mononuclear cell"	"ADAM9"	"gene expression"	"up"	""	"7 or 14"	"days"	"Measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"Adults (15-25)"	"16571413"	"2005"	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"1"	"461"	"U41766"
""	"20090611-hipciof_gene_16571413"	"2009.06.11"	"hipciof_gene_58"	"peripheral blood mononuclear cell"	"BBC3"	"gene expression"	"up"	""	"7 or 14"	"days"	"Measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"Adults (15-25)"	"16571413"	"2005"	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"1"	"461"	"BBC3"
""	"20090611-hipciof_gene_16571413"	"2009.06.11"	"hipciof_gene_58"	"peripheral blood mononuclear cell"	"ZSCAN12"	"gene expression"	"up"	""	"7 or 14"	"days"	"Measles morbillivirus"	""	"Attenuvax"	"VO_0000007"	""	"7d or 14d vs 0d"	"time of vaccination (first dose)"	"Adults (15-25)"	"16571413"	"2005"	"https://www.sciencedirect.com/science/article/pii/S0198885905004246?via%3Dihub"	"1"	"461"	"AB007886"
