""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Erwin-Cohen et al. (2017) Human transcriptome response to immunization with live-attenuated Venezuelan equine encephalitis virus vaccine (TC-83): Analysis of whole blood. Hum Vaccin Immunother PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27870591' target='_blank'>27870591</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20171023-hipciof_gene_27870591"	"2017.10.23"	"hipciof_gene_16"	"blood"	"RSAD2"	"gene expression"	"up"	"none"	"2"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"vaccinated vs control"	"time of vaccination (first dose)"	"adults (23-48)"	"27870591"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27870591"	"1"	"99"	"RSAD2"
""	"20171023-hipciof_gene_27870591"	"2017.10.23"	"hipciof_gene_16"	"blood"	"IFI44L"	"gene expression"	"up"	"none"	"2"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"vaccinated vs control"	"time of vaccination (first dose)"	"adults (23-48)"	"27870591"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27870591"	"1"	"99"	"IFI44L"
""	"20171023-hipciof_gene_27870591"	"2017.10.23"	"hipciof_gene_16"	"blood"	"IFIT1"	"gene expression"	"up"	"none"	"2"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"vaccinated vs control"	"time of vaccination (first dose)"	"adults (23-48)"	"27870591"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27870591"	"1"	"99"	"IFIT1"
""	"20171023-hipciof_gene_27870591"	"2017.10.23"	"hipciof_gene_16"	"blood"	"ISG15"	"gene expression"	"up"	"none"	"2"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"vaccinated vs control"	"time of vaccination (first dose)"	"adults (23-48)"	"27870591"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27870591"	"1"	"99"	"ISG15"
""	"20171023-hipciof_gene_27870591"	"2017.10.23"	"hipciof_gene_16"	"blood"	"LAMP3"	"gene expression"	"up"	"none"	"2"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"vaccinated vs control"	"time of vaccination (first dose)"	"adults (23-48)"	"27870591"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27870591"	"1"	"99"	"LAMP3"
""	"20171023-hipciof_gene_27870591"	"2017.10.23"	"hipciof_gene_16"	"blood"	"IFI44"	"gene expression"	"up"	"none"	"2"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"vaccinated vs control"	"time of vaccination (first dose)"	"adults (23-48)"	"27870591"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27870591"	"1"	"99"	"IFI44"
