""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Erwin-Cohen et al. (2013) Host responses to live-attenuated Venezuelan equine encephalitis virus (TC-83): comparison of naïve, vaccine responder and nonresponder to TC-83 challenge in human peripheral blood mononuclear cells. Hum Vaccin Immunother PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845' target='_blank'>22617845</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20130515-hipciof_gene_22617845"	"2013.05.15"	"hipciof_gene_17"	"peripheral blood mononuclear cell"	"HLA-DOB"	"gene expression"	"up"	"non-responders"	"2 to 10"	"Months"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"In vivo vs In vitro"	"time of vaccination (first dose)"	"adults (18-45)"	"22617845"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845"	"1"	"105"	"HLA-DOB"
""	"20130515-hipciof_gene_22617845"	"2013.05.15"	"hipciof_gene_17"	"peripheral blood mononuclear cell"	"HLA-G"	"gene expression"	"up"	"none"	"1"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"22617845"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845"	"2"	"106"	"HLA-G"
""	"20130515-hipciof_gene_22617845"	"2013.05.15"	"hipciof_gene_17"	"peripheral blood mononuclear cell"	"OAS1"	"gene expression"	"up"	"none"	"1"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"treated vs before treatment"	"time of vaccination (first dose)"	"adults (18-45)"	"22617845"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845"	"4"	"108"	"OAS1"
""	"20130515-hipciof_gene_22617845"	"2013.05.15"	"hipciof_gene_17"	"peripheral blood mononuclear cell"	"OAS2"	"gene expression"	"up"	"none"	"1"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"treated vs before treatment"	"time of vaccination (first dose)"	"adults (18-45)"	"22617845"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845"	"4"	"108"	"OAS2"
""	"20130515-hipciof_gene_22617845"	"2013.05.15"	"hipciof_gene_17"	"peripheral blood mononuclear cell"	"OAS3"	"gene expression"	"up"	"none"	"1"	"Days"	"Venezuelan equine encephalitis virus (strain TC-83)"	""	"Live attenuated vaccine TC-83"	"VO_0004105"	""	"treated vs before treatment"	"time of vaccination (first dose)"	"adults (18-45)"	"22617845"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22617845"	"4"	"108"	"OAS3"
