""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Rechtien et al. (2018) Systems Vaccinology Identifies an Early Innate Immune Signature as a Correlate of Antibody Responses to the Ebola Vaccine rVSV-ZEBOV. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372'>28854372</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20180430-hipciof_gene_28854372"	"2018.04.30"	"hipciof_gene_4"	"peripheral blood mononuclear cell"	"CCL2"	"gene expression"	"up"	"none"	"1"	"Days"	"Ebola virus"	""	"rVSV-ZEBOV"	"VO_0000726"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"1"	"41"	"CCL2"
""	"20180430-hipciof_gene_28854372"	"2018.04.30"	"hipciof_gene_4"	"peripheral blood mononuclear cell"	"LAMP3"	"gene expression"	"up"	"none"	"1"	"Days"	"Ebola virus"	""	"rVSV-ZEBOV"	"VO_0000726"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"1"	"41"	"LAMP3"
""	"20180430-hipciof_gene_28854372"	"2018.04.30"	"hipciof_gene_4"	"peripheral blood mononuclear cell"	"CXCL10"	"gene expression"	"up"	"none"	"1"	"Days"	"Ebola virus"	""	"rVSV-ZEBOV"	"VO_0000726"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"1"	"41"	"CXCL10"
""	"20180430-hipciof_gene_28854372"	"2018.04.30"	"hipciof_gene_4"	"peripheral blood mononuclear cell"	"RSAD2"	"gene expression"	"up"	"none"	"1"	"Days"	"Ebola virus"	""	"rVSV-ZEBOV"	"VO_0000726"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"1"	"41"	"RSAD2"
""	"20180430-hipciof_gene_28854372"	"2018.04.30"	"hipciof_gene_4"	"peripheral blood mononuclear cell"	"USP18"	"gene expression"	"up"	"none"	"1"	"Days"	"Ebola virus"	""	"rVSV-ZEBOV"	"VO_0000726"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"1"	"41"	"USP18"
""	"20180430-hipciof_gene_28854372"	"2018.04.30"	"hipciof_gene_4"	"peripheral blood mononuclear cell"	"ISG15"	"gene expression"	"up"	"none"	"1"	"Days"	"Ebola virus"	""	"rVSV-ZEBOV"	"VO_0000726"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"28854372"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"1"	"41"	"ISG15"
