""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Kennedy et al. (2013) Transcriptomic profiles of high and low antibody responders to smallpox vaccine. Genes Immun. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957' target='_blank'>23594957</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_23594957_1"	"2013.07"	"hipc_gene_23594957_1"	"peripheral blood mononuclear cell"	"CXCL6"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"adults (18-40)"	"23594957"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"CXCL6"	"hipc_gene_sig_23594957_1.txt"	"hipc_gene_sig_complete_23594957_1.txt"
""	"hipc_gene_23594957_1"	"2013.07"	"hipc_gene_23594957_1"	"peripheral blood mononuclear cell"	"ARNT2"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"adults (18-40)"	"23594957"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"ARNT2"	"hipc_gene_sig_23594957_1.txt"	"hipc_gene_sig_complete_23594957_1.txt"
""	"hipc_gene_23594957_1"	"2013.07"	"hipc_gene_23594957_1"	"peripheral blood mononuclear cell"	"PDPN"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"adults (18-40)"	"23594957"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"PDPN"	"hipc_gene_sig_23594957_1.txt"	"hipc_gene_sig_complete_23594957_1.txt"
""	"hipc_gene_23594957_1"	"2013.07"	"hipc_gene_23594957_1"	"peripheral blood mononuclear cell"	"CD14"	"gene expression"	"down"	"none"	"1 to 48"	"Months"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"adults (18-40)"	"23594957"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23594957"	"adults"	"18"	"40"	"years"	"1"	"142"	"CD14"	"hipc_gene_sig_23594957_1.txt"	"hipc_gene_sig_complete_23594957_1.txt"
