""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Ovsyannikova et al. (2016) Gene signatures associated with adaptive humoral immunity following seasonal influenza A/H1N1 vaccination. Genes Immun. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27534615' target='_blank'>27534615</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_27534615_3"	"2016.12"	"hipc_gene_27534615_3"	"peripheral blood mononuclear cell"	"MAN1B1"	"gene expression"	"down"	"none"	"28"	"days"	"time of vaccination (first dose)"	"28d-3d"	"2010"	"Fluarix"	"VO_0000045"	""	"adults (50-74)"	"27534615"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"383"	"MAN1B1"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_27534615_3.txt"	"hipc_gene_sig_complete_27534615_3.txt"
""	"hipc_gene_27534615_3"	"2016.12"	"hipc_gene_27534615_3"	"peripheral blood mononuclear cell"	"POLL"	"gene expression"	"down"	"none"	"28"	"days"	"time of vaccination (first dose)"	"28d-3d"	"2010"	"Fluarix"	"VO_0000045"	""	"adults (50-74)"	"27534615"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"383"	"POLL"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_27534615_3.txt"	"hipc_gene_sig_complete_27534615_3.txt"
""	"hipc_gene_27534615_3"	"2016.12"	"hipc_gene_27534615_3"	"peripheral blood mononuclear cell"	"CEBPG"	"gene expression"	"down"	"none"	"28"	"days"	"time of vaccination (first dose)"	"28d-3d"	"2010"	"Fluarix"	"VO_0000045"	""	"adults (50-74)"	"27534615"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"383"	"CEBPG"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_27534615_3.txt"	"hipc_gene_sig_complete_27534615_3.txt"
""	"hipc_gene_27534615_3"	"2016.12"	"hipc_gene_27534615_3"	"peripheral blood mononuclear cell"	"FOXP3"	"gene expression"	"down"	"none"	"28"	"days"	"time of vaccination (first dose)"	"28d-3d"	"2010"	"Fluarix"	"VO_0000045"	""	"adults (50-74)"	"27534615"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5133148/"	"adults, seniors"	"50"	"74"	"years"	"3"	"383"	"FOXP3"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_27534615_3.txt"	"hipc_gene_sig_complete_27534615_3.txt"
