""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Howard et al. (2019) AS03-Adjuvanted H5N1 Avian Influenza Vaccine Modulates Early Innate Immune Signatures in Human Peripheral Blood Mononuclear Cells. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30566602' target='_blank'>30566602</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_30566602_1"	"2019.05"	"hipc_gene_30566602_1"	"peripheral blood mononuclear cell"	"HFE"	"gene expression"	"down"	"none"	"1"	"day"	"time of vaccination (first dose)"	"vaccinated with AS03 adjuvant vs phosphate-bufferred saline"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (19-39)"	"30566602"	"2019"	""	""	""	"https://academic.oup.com/jid/article/219/11/1786/5253567"	"adults"	"19"	"39"	"years"	"1"	"385"	"HFE"	"hipc_gene_sig_30566602_1.txt"	"hipc_gene_sig_complete_30566602_1.txt"
""	"hipc_gene_30566602_1"	"2019.05"	"hipc_gene_30566602_1"	"peripheral blood mononuclear cell"	"TIMD4"	"gene expression"	"down"	"none"	"1"	"day"	"time of vaccination (first dose)"	"vaccinated with AS03 adjuvant vs phosphate-bufferred saline"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (19-39)"	"30566602"	"2019"	""	""	""	"https://academic.oup.com/jid/article/219/11/1786/5253567"	"adults"	"19"	"39"	"years"	"1"	"385"	"TIMD4"	"hipc_gene_sig_30566602_1.txt"	"hipc_gene_sig_complete_30566602_1.txt"
""	"hipc_gene_30566602_1"	"2019.05"	"hipc_gene_30566602_1"	"peripheral blood mononuclear cell"	"CCL15"	"gene expression"	"down"	"none"	"1"	"day"	"time of vaccination (first dose)"	"vaccinated with AS03 adjuvant vs phosphate-bufferred saline"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (19-39)"	"30566602"	"2019"	""	""	""	"https://academic.oup.com/jid/article/219/11/1786/5253567"	"adults"	"19"	"39"	"years"	"1"	"385"	"CCL15"	"hipc_gene_sig_30566602_1.txt"	"hipc_gene_sig_complete_30566602_1.txt"
""	"hipc_gene_30566602_1"	"2019.05"	"hipc_gene_30566602_1"	"peripheral blood mononuclear cell"	"JAKMIP1"	"gene expression"	"down"	"none"	"1"	"day"	"time of vaccination (first dose)"	"vaccinated with AS03 adjuvant vs phosphate-bufferred saline"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (19-39)"	"30566602"	"2019"	""	""	""	"https://academic.oup.com/jid/article/219/11/1786/5253567"	"adults"	"19"	"39"	"years"	"1"	"385"	"JAKMIP1"	"hipc_gene_sig_30566602_1.txt"	"hipc_gene_sig_complete_30566602_1.txt"
