""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Patel et al. (2018) Impact of Zostavax Vaccination on T-Cell Accumulation and Cutaneous Gene Expression in the Skin of Older Humans After Varicella Zoster Virus Antigen-Specific Challenge. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30247603' target='_blank'>30247603</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_30247603_4"	"2018.09"	"hipc_gene_30247603_4"	"skin of body"	"CXCL10"	"gene expression"	"up"	"none"	"3"	"days"	"time of vaccination (first dose)"	"after vaccine vs before vaccine"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"adults (70-93)"	"30247603"	"2018"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"4"	"397"	"CXCL10"	"hipc_gene_sig_30247603_4.txt"	"hipc_gene_sig_complete_30247603_4.txt"
""	"hipc_gene_30247603_4"	"2018.09"	"hipc_gene_30247603_4"	"skin of body"	"GZMB"	"gene expression"	"up"	"none"	"3"	"days"	"time of vaccination (first dose)"	"after vaccine vs before vaccine"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"adults (70-93)"	"30247603"	"2018"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"4"	"397"	"GZMB"	"hipc_gene_sig_30247603_4.txt"	"hipc_gene_sig_complete_30247603_4.txt"
""	"hipc_gene_30247603_4"	"2018.09"	"hipc_gene_30247603_4"	"skin of body"	"CXCL9"	"gene expression"	"up"	"none"	"3"	"days"	"time of vaccination (first dose)"	"after vaccine vs before vaccine"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"adults (70-93)"	"30247603"	"2018"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"4"	"397"	"CXCL9"	"hipc_gene_sig_30247603_4.txt"	"hipc_gene_sig_complete_30247603_4.txt"
""	"hipc_gene_30247603_4"	"2018.09"	"hipc_gene_30247603_4"	"skin of body"	"SERPINA1"	"gene expression"	"up"	"none"	"3"	"days"	"time of vaccination (first dose)"	"after vaccine vs before vaccine"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"adults (70-93)"	"30247603"	"2018"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"4"	"397"	"SERPINA1"	"hipc_gene_sig_30247603_4.txt"	"hipc_gene_sig_complete_30247603_4.txt"
