""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Howard et al. (2017) Cell-Based Systems Biology Analysis of Human AS03-Adjuvanted H5N1 Avian Influenza Vaccine Responses: A Phase I Randomized Controlled Trial. PLoS ONE PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28099485' target='_blank'>28099485</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_28099485_1"	"2017.01"	"hipc_gene_28099485_1"	"B cell"	"STAT1"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"1"	"449"	"STAT1"	"hipc_gene_sig_28099485_1.txt"	"hipc_gene_sig_complete_28099485_1.txt"
""	"hipc_gene_28099485_1"	"2017.01"	"hipc_gene_28099485_1"	"B cell"	"IRF1"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"1"	"449"	"IRF1"	"hipc_gene_sig_28099485_1.txt"	"hipc_gene_sig_complete_28099485_1.txt"
""	"hipc_gene_28099485_1"	"2017.01"	"hipc_gene_28099485_1"	"B cell"	"HAPLN3"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"1"	"449"	"HAPLN3"	"hipc_gene_sig_28099485_1.txt"	"hipc_gene_sig_complete_28099485_1.txt"
""	"hipc_gene_28099485_1"	"2017.01"	"hipc_gene_28099485_1"	"B cell"	"GBP1"	"gene expression"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"1d-0d"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"adults (18-49)"	"28099485"	"2017"	""	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"1"	"449"	"GBP1"	"hipc_gene_sig_28099485_1.txt"	"hipc_gene_sig_complete_28099485_1.txt"
