""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Patel et al. (2019) Impact of Zostavax Vaccination on T-Cell Accumulation and Cutaneous Gene Expression in the Skin of Older Humans After Varicella Zoster Virus Antigen-Specific Challenge. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30247603' target='_blank'>30247603</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response agents file"
""	"20190912-hipciof_ctf_30247603"	"2019.09.12"	"hipciof_ctf_32"	"whole blood"	"T cells IFNg producing VZV-specific CD4+"	"CD4-positive, alpha-beta T cell"	"& IFNG+, VZV-specific"	"cell type frequency"	"up"	"none"	""	""	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"after vs before vaccine"	"time of vaccination (first dose)"	"Adults (70-93)"	"30247603"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"1"	"138"	"hipciof_ctf_30247603_138.txt"
""	"20190912-hipciof_ctf_30247603"	"2019.09.12"	"hipciof_ctf_32"	"skin of body"	"T cells CD4+"	"CD4-positive, alpha-beta T cell"	""	"cell type frequency"	"up"	"none"	"3"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"Adults (70-93)"	"30247603"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"2"	"139"	"hipciof_ctf_30247603_139.txt"
""	"20190912-hipciof_ctf_30247603"	"2019.09.12"	"hipciof_ctf_32"	"skin of body"	"T cells CD8+"	"CD8-positive, alpha-beta T cell"	""	"cell type frequency"	"up"	"none"	"3"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"Adults (70-93)"	"30247603"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"4"	"141"	"hipciof_ctf_30247603_141.txt"
""	"20190912-hipciof_ctf_30247603"	"2019.09.12"	"hipciof_ctf_32"	"skin of body"	"T cells CD8+ Ki67+"	"CD8-positive, alpha-beta T cell"	"& pKI-67+"	"cell type frequency"	"up"	"none"	"3"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"Adults (70-93)"	"30247603"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"6"	"143"	"hipciof_ctf_30247603_143.txt"
""	"20190912-hipciof_ctf_30247603"	"2019.09.12"	"hipciof_ctf_32"	"skin of body"	"Tregs Foxp3+"	"regulatory T cell"	"& Foxp3+"	"cell type frequency"	"down"	"none"	"3"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"Adults (70-93)"	"30247603"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"8"	"145"	"hipciof_ctf_30247603_145.txt"
