""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO &extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Hou et al. (2017) A Systems Vaccinology Approach Reveals Temporal Transcriptomic Changes of Immune Responses to the Yellow Fever 17D Vaccine. J. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661' target='_blank'>28687661</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20171016-hipciof_ctf_28687661"	"2017.10.16"	"hipciof_ctf_10"	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell"	"plasmacytoid dendritic cell"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"1"	"33"
""	"20171016-hipciof_ctf_28687661"	"2017.10.16"	"hipciof_ctf_10"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"2"	"34"
""	"20171016-hipciof_ctf_28687661"	"2017.10.16"	"hipciof_ctf_10"	"peripheral blood mononuclear cell"	"NKGA2-positive natural killer cell"	"NKGA2-positive natural killer cell"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"2"	"34"
""	"20171016-hipciof_ctf_28687661"	"2017.10.16"	"hipciof_ctf_10"	"peripheral blood mononuclear cell"	"NKP46-positive natural killer cell"	"natural killer cell"	"& NKp46+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"2"	"34"
""	"20171016-hipciof_ctf_28687661"	"2017.10.16"	"hipciof_ctf_10"	"peripheral blood mononuclear cell"	"class switched memory B cell"	"class switched memory B cell"	""	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"2"	"34"
""	"20171016-hipciof_ctf_28687661"	"2017.10.16"	"hipciof_ctf_10"	"peripheral blood mononuclear cell"	"CD3-positive, CD4-positive, CD28-positive B cell"	"B cell"	"& CD3 epsilon+,  CD4+,  CD28+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"2"	"34"
""	"20171016-hipciof_ctf_28687661"	"2017.10.16"	"hipciof_ctf_10"	"peripheral blood mononuclear cell"	"T cells CD3+/CD4+/Ki67+"	"CD4-positive, alpha-beta T cell"	"& pKI-67+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"2"	"34"
""	"20171016-hipciof_ctf_28687661"	"2017.10.16"	"hipciof_ctf_10"	"peripheral blood mononuclear cell"	"T cells CD3+/CD8+/CD28+"	"CD8-positive, alpha-beta T cell"	"& CD28+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"Yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"2"	"34"
