""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Qi et al. (2017) Defective T Memory Cell Differentiation after Varicella Zoster Vaccination in Older Individuals. PLoS Pathog. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254' target='_blank'>27764254</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20170519-hipciof_gene_corr_27764254"	"2017.05.19"	"hipciof_gene_corr_13"	"blood"	"CYSLTR1"	"gene expression"	"positively"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"correlated with T cell responses"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"2"	"82"	"CYSLTR1"
""	"20170519-hipciof_gene_corr_27764254"	"2017.05.19"	"hipciof_gene_corr_13"	"blood"	"ITGB2"	"gene expression"	"positively"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"correlated with T cell responses"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"2"	"82"	"ITGB2"
""	"20170519-hipciof_gene_corr_27764254"	"2017.05.19"	"hipciof_gene_corr_13"	"blood"	"SELL"	"gene expression"	"positively"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"correlated with T cell responses"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"2"	"82"	"SELL"
""	"20170519-hipciof_gene_corr_27764254"	"2017.05.19"	"hipciof_gene_corr_13"	"blood"	"CCR2"	"gene expression"	"positively"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"correlated with T cell responses"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"2"	"82"	"CCR2"
""	"20170519-hipciof_gene_corr_27764254"	"2017.05.19"	"hipciof_gene_corr_13"	"blood"	"SIGLEC10"	"gene expression"	"positively"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"correlated with T cell responses"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"2"	"82"	"SIGLEC10"
""	"20170519-hipciof_gene_corr_27764254"	"2017.05.19"	"hipciof_gene_corr_13"	"blood"	"STAT3"	"gene expression"	"positively"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"correlated with T cell responses"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/27764254"	"2"	"82"	"STAT3"
